time,open,high,low,close,volume
2024-01-01 00:00:00,1.10000,1.10100,1.09900,1.10050,1000
2024-01-01 00:15:00,1.10050,1.10150,1.10000,1.10100,1000
2024-01-01 00:30:00,1.10100,1.10200,1.10050,1.10150,1000
2024-01-01 00:45:00,1.10150,1.10250,1.10100,1.10200,1000
2024-01-01 01:00:00,1.10200,1.10300,1.10150,1.10250,1000
2024-01-01 01:15:00,1.10250,1.10350,1.10200,1.10300,1000
2024-01-01 01:30:00,1.10300,1.10400,1.10250,1.10350,1000
2024-01-01 01:45:00,1.10350,1.10450,1.10300,1.10400,1000
2024-01-01 02:00:00,1.10400,1.10500,1.10350,1.10450,1000
2024-01-01 02:15:00,1.10450,1.10550,1.10400,1.10500,1000
